,zipcode
0,98033
1,33950
2,07031
4,19148
7,11691
8,33012
10,33064
11,33030
12,32256
13,33143
14,33010
16,07720
17,33301
18,33436
19,33010
20,08401
21,33069
22,07726
24,32217
25,33713
26,07666
27,33066
28,07631
30,34238
32,33776
33,08701
34,33433
35,70003
36,32207
37,33484
38,33770
39,33147
40,34211
41,33139
44,33458
45,33410
47,33322
48,11215
49,34698
50,33322
51,11214
52,33054
53,08701
54,34112
55,32967
57,11226
58,08527
59,34120
60,11354
61,29907
62,32207
63,98520
64,11235
65,32259
66,11374
67,32940
68,33065
69,07628
70,34698
71,33761
72,34205
73,07730
77,19973
81,11218
83,32216
84,33412
85,33412
86,19973
89,19968
90,32207
91,32254
92,98013
93,33173
94,98006
95,33143
96,19951
97,33010
98,33415
99,07407
100,33071
101,98376
102,33903
103,34275
105,70056
106,32246
107,33169
108,33147
109,33179
110,98103
111,70127
112,32217
113,33903
114,98008
115,78550
116,32225
117,07728
118,11373
119,08404
120,08205
121,98008
122,23303
123,11105
125,32208
126,33134
127,33175
128,33026
129,07740
130,33031
131,32216
132,98101
133,33179
134,32225
135,33430
138,33055
139,11226
141,33311
142,33712
143,11102
144,19136
145,33147
147,70118
149,11370
150,19136
151,11691
152,33032
153,33463
155,32277
156,34997
157,33411
158,11106
159,33033
160,11423
162,11374
163,32216
164,33184
165,32212
166,33441
167,07676
168,78566
170,32210
171,11221
172,32205
173,11385
174,33313
175,70002
176,11360
177,11365
178,32164
179,33756
182,11361
183,19136
184,07726
187,98092
188,11235
191,11214
192,32210
196,33024
197,33781
198,33021
199,32210
200,33010
201,34110
202,32966
203,33126
204,33009
205,32220
207,19121
208,98115
209,33771
210,33016
211,08406
212,33144
213,33324
214,33160
215,32137
216,34202
217,34231
218,98075
220,11209
221,33314
222,11104
223,33012
224,19111
225,07762
228,19975
229,34210
230,34695
231,11370
232,19149
233,07660
234,32225
235,33991
236,33914
237,33165
238,32244
239,07753
240,32205
241,34145
242,32907
243,34237
246,07022
247,34237
248,33776
249,08752
250,07644
251,32210
252,34293
253,33778
255,08230
256,08050
257,33955
259,33055
261,11354
262,98112
263,19940
265,34689
268,19129
269,32244
270,33127
271,33144
272,07666
273,11105
274,32935
275,08406
276,78552
277,33710
278,07604
279,33401
280,08401
281,07630
283,98116
284,33076
285,33771
286,19143
287,08302
290,33160
291,08302
293,33705
294,78550
295,32244
296,98569
297,34232
298,11377
300,11424
301,11358
302,33165
303,34234
304,33172
305,33771
306,33069
308,70006
310,33981
312,32209
313,07410
314,08759
315,08349
316,11213
317,33441
319,19104
320,33012
321,33024
322,19139
323,70072
324,34293
325,07731
327,70127
328,11235
329,98362
330,32901
331,33063
332,70125
333,33967
334,70123
335,98103
337,33144
339,33461
340,98002
341,32223
343,32136
347,33147
348,07458
349,33707
351,98611
353,32901
354,33076
355,11210
356,98248
359,33008
360,33304
361,98057
362,19146
364,34222
365,34695
366,33478
368,34293
371,07407
373,34292
374,07074
375,07407
376,33066
377,33773
378,33455
379,33946
380,98239
381,08759
382,33708
383,33317
384,33125
386,08332
387,32137
388,34235
389,07724
390,11364
391,33435
392,34228
393,34223
394,07626
396,07712
397,33027
398,33462
399,98155
401,33179
402,19134
403,07087
404,32967
406,11212
407,11385
408,11432
409,19132
410,98230
412,07724
413,32218
414,08050
415,11375
416,33076
418,98229
419,98550
420,98023
421,98260
422,98520
423,98112
424,98030
425,98002
426,98011
427,98125
428,98023
429,98611
430,98550
431,98109
432,98122
433,97365
434,98056
435,98101
438,98059
439,97390
441,98226
442,98284
443,98155
444,98229
445,98277
446,98632
450,98225
451,97394
452,98030
453,98116
454,98177
455,98121
457,97103
458,98626
459,98059
460,98277
461,98073
462,98178
463,98059
464,98520
465,97103
469,98645
470,98030
471,98103
472,11218
473,07604
474,07646
475,11213
476,11378
477,07663
478,11214
479,07631
480,08330
482,08527
483,07410
484,07642
485,19124
486,11207
488,11374
489,11379
491,07002
494,19128
495,07026
496,07002
497,11214
498,19121
499,19134
500,07712
501,19151
502,11385
503,07306
504,08332
505,19152
506,11229
